Tahun,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
A. Pendapatan Negara,495224.2,637987.1,707806.1,981609.4,848763.2,995271.5,1210599.7,1338109.5,1438891.1,1550490.8,1508020.4,1555934.3,1666375.9,1943674.9,1960641,1647783.3,2011347.1,2635843,2783929.7,2842478.02
I. Penerimaan Dalam Negeri,493919.4,636153,706108.4,979305.4,847096.6,992248.5,1205345.7,1332322.8,1432058.6,1545456.3,1496047.3,1546946.6,1654746.1,1928110,1955141,1628950.5,2006334,2630147,2766745.5,2812187.11
1. Penerimaan Perpajakan,347031,409203,490988.6,658700.8,619922.2,723306.7,873873.9,980518,1077306.7,1146865.8,1240418.9,1284970.1,1343529.8,1518789.8,1546141,1285136.3,1547841.1,2034552.4,2154208.2,2232666
a. Pendapatan Pajak Dalam Negeri,331791.9,395971.5,470051.8,622358.7,601251.8,694392.1,819752.4,930861.7,1029850.1,1103217.6,1205478.9,1249499.5,1304316.3,1472908,1505090,1248415.1,1474145.7,1943654.8,2089718.3,2158808.3
i. Pendapatan Pajak Penghasilan,175541.2,208833.1,238430.9,327497.7,317615,357045.5,431121.7,465069.5,506442.8,546180.9,602308.1,657162.7,637859.3,739864.9,772300,594033.3,696676.6,998213.8,1061234,1062693.27
ii. Pendapatan Pajak Pertambahan Nilai dan PPnBM,101295.8,123035.9,154526.8,209647.4,193067.5,230604.9,277800.1,337584.6,384713.5,409181.6,423710.8,412213.5,480724.6,537267.9,531600,450328.1,551900.5,687609.5,763632.7,828505.9
iii. Pendapatan Pajak Bumi dan Bangunan,16216.7,20858.5,23723.5,25354.3,24270.2,28580.6,29893.2,28968.9,25304.6,23476.2,29250,19443.2,16770.3,19444.9,21100,20953.6,18924.8,23264.7,33270.7,32493.69
iv. Pendapatan BPHTB,3431.9,3184.5,5953.4,5573.1,6464.5,8026.4,-0.7,0,0,0,0.3,0.5,1.2,0,0,0,0,0,0,0
v. Pendapatan Pajak lainnya,2050.2,2287.4,2737.7,3034.4,3116,3968.8,3928.2,4210.9,4937.1,6293.4,5568.3,17154.5,15672.6,16741.6,7700,6790.8,11126,7686.1,9729.8,8744.11
vi. Pendapatan Cukai,33256.2,37772.1,44679.5,51251.8,56718.5,66165.9,77010,95027.9,108452.1,118085.5,144641.3,143525,153288.1,159588.6,172390,176309.3,195517.8,226880.8,221851.1,226371.33
b. Pendapatan Pajak Perdagangan Internasional,15239.1,13231.5,20936.8,36342.1,18670.4,28914.5,54121.5,49656.3,47456.6,43648.1,34940,35470.7,39213.6,45881.8,41051,36721.2,73695.4,90897.7,64489.9,73857.69
i. Bea Masuk,14920.9,12140.4,16699.4,22763.8,18105.5,20016.8,25265.9,28418.4,31621.3,32319.1,31212.8,32472.1,35066.2,39116.7,37514,32443.5,39122.7,51077.7,50891.8,52965.32
ii. Bea Keluar,318.2,1091.1,4237.4,13578.3,565,8897.7,28855.6,21237.9,15835.4,11329,3727.1,2998.6,4147.4,6765.1,3537,4277.7,34572.7,39819.9,13598.2,20892.37
2. Penerimaan Negara Bukan Pajak,146888.4,226950,215119.7,320604.6,227174.4,268941.9,331471.8,351804.7,354751.9,398590.5,255628.5,261976.4,311216.3,409320.2,409000,343814.2,458493,595594.6,612537.3,579521.11
a. Penerimaan SDA,110467.3,167473.7,132892.6,224463,138959.2,168825.4,213823.4,225844,226406.2,240848.3,100971.9,64901.9,111132,180592.6,154900,97225.1,149489.4,268770.9,254203,229220.83
i. Penerimaan SDA Migas,103762,158086.1,124783.7,211617,125752,152733.2,193490.6,205823.5,203629.4,216876.1,78170.5,44093.8,81842.9,142789.2,121100,69080.2,96616.4,148698.9,116178.6,110916.91
a) Pendapatan Minyak bumi,72822.3,125145.4,93604.5,169022.2,90056,111814.9,141303.5,144717.1,135329.2,139174.3,47987.4,31448,58203,101486.7,83600,44868.8,64998.8,111992.9,87408.9,85879.85
b) Pendapatan Gas alam,30939.8,32940.7,31179.2,42594.7,35696,40918.3,52187.1,61106.4,68300.2,77701.8,30183,12645.7,23639.9,41302.6,37500,24211.3,31617.6,36705.9,28769.7,25037.06
ii. Penerimaan SDA NonMigas,6705.3,9387.6,8108.9,12846,13207.3,16092.2,20332.8,20020.5,22776.8,23972.2,22801.4,20808.2,29289.1,37803.4,33800,28144.9,52873,120072,138024.5,118303.91
a) Pendapatan Pertambangan Mineral dan Batubara,3190.5,6781.3,5877.9,9511.3,10369.4,12646.8,16369.8,15877.4,18620.5,19300.4,17683,15756.8,23763.2,30313.7,26335,21179,44835.4,110786.8,129126.8,107775.03
b) Pendapatan Kehutanan,3249.4,2409.4,2114.8,2315.5,2345.4,3009.7,3216.5,3188.3,3060.4,3699.9,4156.5,3757,4101.9,4760.4,5035,4403.3,5400.3,5804.1,5429.6,6739.01
c) Pendapatan Perikanan,265.4,196.9,116.3,77.8,92,92,183.8,215.8,229.4,216.4,79.3,362.1,491,448.8,500,600.7,708.2,1192.9,636.9,951.82
d) Pendapatan Pertambangan Panas Bumi,0,0,0,941.4,400.4,343.8,562.7,739,866.6,755.5,882.7,932.3,933,2280.6,1930,1962,1929.1,2288.2,2831.2,2838.06
b. Pendapatan dari Kekayaan Negara Dipisahkan,12835.2,21450.6,23222.5,29088.4,26049.5,30096.9,28184,30798,34025.6,40314.4,37643.7,37133.2,43904.2,45060.5,80700,66080.5,30496.8,40597.1,82058.7,86386.88
c. Pendapatan PNBP Lainnya,23585.9,38025.7,59004.6,67053.3,53796.1,59428.6,69360.5,73458.5,69671.9,87746.8,81697.4,117995.4,108834.6,128574,124500,111200.3,152504,196324.3,180415.1,163609.9
d. Pendapatan Badan Layanan Umum,0,0,0,0,8369.5,10590.8,20104,21704.3,24648.2,29681,35315.5,41945.9,47345.4,55093.1,48900,69308.3,126002.8,89902.3,95860.4,100303.51
e. Surplus Bank Indonesia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,456355,0,0,0,0
II. Penerimaan Hibah,1304.8,1834.1,1697.7,2304,1666.6,3023,5253.9,5786.7,6832.5,5034.5,11973,8987.7,11629.8,15564.9,5500,18832.8,5013,5696.1,17184.2,30290.92
B. Belanja Negara,361155.2,440032.1,504623.3,693355.9,628812.4,697406.4,883721.9,1010558.2,1137162.9,1203577.2,1183303.7,1154018.2,1265359.4,1455324.8,1496313.9,1832950.9,2000703.8,2280027.9,3121217.2,3350273.78
I. Belanja Pemerintah Pusat,361155.2,440032.1,504623.3,693355.9,628812.4,697406.4,883721.9,1010558.2,1137162.9,1203577.2,1183303.7,1154018.2,1265359.4,1455324.8,1496313.9,1832950.9,2000703.8,2280027.9,2239786.7,2486733.4
1. Belanja Pegawai,54254.2,73252.3,90424.9,112829.9,127669.7,148078.1,175737.9,197863.6,221688.8,243719.9,281142.7,305141.5,312728.8,346890.8,376074.3,380532.2,387752.5,402441.7,412711.3,464528.9
2. Belanja Barang,29171.7,47181.9,54511.4,55963.5,80667.9,97596.8,124639.5,140884.9,169722.7,176622.3,233281.1,259646.9,291459.1,347468.3,334418.2,422338.2,530059.3,426149.1,432715,517629
3. Belanja Modal,32888.8,54951.9,64288.7,72772.5,75870.8,80287.1,117854.5,145104.1,180864.2,147347.9,215434.2,169474.2,208656.7,184127.6,177841.5,190919.8,239632.3,240570.3,303041.3,352551.1
4. Subsidi,120765.3,107431.8,150214.5,275291.4,138082.2,192707,295358.2,346420.4,355045.2,391962.5,185971.1,174226.8,166401.1,216883.3,201802.6,196231.5,242086.8,252812.9,269592.1,292472.78
i. Subsidi Energi,104449.2,94605.4,116865.9,223013.2,94585.9,139952.9,255608.8,306478.7,309979.7,341810.4,119091.1,106785,97642.1,153522.4,136875.8,108840.5,140395.2,171858.8,164292.3,177615.24
ii. Subsidi Non Energi,16316.1,12826.4,33348.6,52278.2,43496.3,52754.1,39749.4,39941.7,45065.5,50152.1,66880,67441.9,68759,63360.9,64926.8,87390.9,101691.6,80954.1,105299.8,114857.54
5. Belanja Hibah,0,0,0,0,0,70,300.1,75.1,1303,907.5,4261.7,7129.9,5445.7,1520.6,6476.2,6275.9,4319,5803.3,219.1,319.3
6. Bantuan Sosial,24903.5,40708.6,49756.3,57740.8,73813.6,68611.1,71104.3,75621.1,92136.1,97924.7,97151.2,49613.5,55297.2,84318.4,112480.3,202530,173654.1,161523.1,156601.6,154987.3
7. Belanja Lain-lain,33972.1,37423.1,15621.2,30328.1,38926.2,21673,5465.4,4073.1,3367.5,11651.1,10051.9,6024,8802.9,16163.8,11699.7,120035.2,79704.4,404385.8,225023.7,215818.63
II. Transfer Ke Daerah,150463.9,226180,253263.2,292433.5,308585.2,344727.6,411324.8,480645.1,513260.4,573703.1,623139.6,710256.9,741992.4,757792.9,812973.4,762530.2,785707.6,816234.8,881430.5,863540.38
a. Dana Bagi Hasil,50479.2,64900.3,62942,78420.2,76130,92183.5,96909,111537.2,88463.1,103939,78053.4,90534.9,88232.2,93704,103980,93906.4,117157,168414.1,205666.6,153174.56
b. Dana Alokasi Umum,88765.4,145664.2,164787.4,179507.1,186414.1,203571.5,225533.7,273814.4,311139.3,341219.3,352887.8,385360.8,398582.3,401489.6,420910.2,381612.5,377791.4,378000,398029.6,429210.61
