Provinsi ,Tahun ,Tech_X1,Pend_X2,Bud_X3,Wis_X4,UMKM_Y1,EKRAF_Y2
Aceh ,2013,3.87,8.44,5,"2,630,518","5,872,402","148,690"
Aceh ,2014,3.50,8.71,7,"2,642,760","4,550,663","169,702"
Aceh ,2015,3.28,8.77,12,"2,683,263","4,436,107","171,075"
Aceh ,2016,3.41,8.86,20,"4,240,898","5,945,512","211,174"
Aceh ,2017,4.49,8.98,25,"4,388,223","7,454,916","217,754"
Aceh ,2018,4.66,9.09,32,"6,313,341","8,808,239","224,333"
Aceh ,2019,5.27,9.18,36,"15,660,786","7,613,002","268,185"
Aceh ,2020,5.54,9.33,39,"4,142,179","8,853,802","257,735"
Aceh ,2021,5.54,9.37,40,"5,534,405","10,820,103","282,937"
Aceh ,2022,5.60,9.44,57,"6,954,578","9,932,514","292,522"
Sumut,2013,4.11,8.79,9,"10,995,065","16,541,424","558,982"
Sumut,2014,3.60,8.93,10,"11,046,234","13,878,639","576,553"
Sumut,2015,3.38,9.03,11,"11,215,535","11,201,484","606,119"
Sumut,2016,3.69,9.12,15,"10,305,972","14,164,437","543,179"
Sumut,2017,4.65,9.25,20,"10,579,452","17,127,390","523,179"
Sumut,2018,4.94,9.34,28,"11,586,299","20,959,335","882,840"
Sumut,2019,5.44,9.45,29,"47,921,230","15,117,280","873,703"
Sumut,2020,5.75,9.54,31,"14,046,368","14,529,406","841,703"
Sumut,2021,5.75,9.58,33,"17,758,183","20,158,527","985,308"
Sumut,2022,5.90,9.71,34,"23,204,456","15,079,096","1,071,702"
Sumbar,2013,4.44,8.28,7,"6,261,364","9,471,352","225,396"
Sumbar,2014,4.00,8.29,10,"6,290,503","11,177,446","263,696"
Sumbar,2015,3.86,8.42,15,"6,386,915","10,097,847","273,733"
Sumbar,2016,4.24,8.59,16,"5,921,182","10,950,915","314,356"
Sumbar,2017,5.00,8.72,17,"6,468,487","11,803,983","339,603"
Sumbar,2018,5.12,8.76,18,"7,472,400","15,796,205","364,850"
Sumbar,2019,5.52,8.92,19,"18,801,652","10,681,229","403,951"
Sumbar,2020,5.92,8.99,32,"7,892,822","9,565,608","366,804"
Sumbar,2021,5.92,9.07,40,"9,603,912","11,688,627","393,235"
Sumbar,2022,6.01,9.18,56,"12,339,263","12,635,608","444,404"
Riau                  ,2013,4.39,8.38,7,"3,784,438","2,223,019","184,735"
Riau                  ,2014,4.00,8.47,8,"3,802,050","2,757,073","218,939"
Riau                  ,2015,3.95,8.49,8,"3,860,322","2,182,468","214,185"
Riau                  ,2016,4.26,8.59,10,"4,030,132","6,858,915","229,741"
Riau                  ,2017,5.08,8.76,21,"4,122,202","11,535,362","234,369"
Riau                  ,2018,5.25,8.92,35,"4,778,397","11,471,107","272,996"
Riau                  ,2019,5.74,9.03,41,"18,505,875","6,706,657","329,738"
Riau                  ,2020,5.90,9.14,51,"5,505,722","6,783,193","306,878"
Riau                  ,2021,5.90,9.19,51,"6,143,269","5,878,900","343,333"
Riau                  ,2022,6.02,9.22,56,"8,404,236","8,325,696","361,094"
Jambi                 ,2013,4.23,7.80,10,"1,929,952","3,027,644","77,645"
Jambi                 ,2014,4.00,7.92,10,"1,938,934","4,215,775","88,568"
Jambi                 ,2015,3.70,7.96,12,"1,968,649","3,753,419","97,955"
Jambi                 ,2016,3.92,8.07,18,"1,963,865","3,503,174","121,924"
Jambi                 ,2017,4.66,8.15,27,"1,978,318","3,252,929","122,565"
Jambi                 ,2018,4.91,8.23,36,"2,250,927","4,554,986","122,765"
Jambi                 ,2019,5.49,8.45,46,"7,219,722","2,971,856","144,167"
Jambi                 ,2020,5.73,8.55,48,"2,684,562","2,770,960","125,795"
Jambi                 ,2021,5.73,8.60,51,"3,047,167","3,767,472","146,996"
Jambi                 ,2022,5.80,8.68,56,"3,780,983","4,122,019","166,266"
Sumsel ,2013,4.03,7.53,7,"5,517,832","8,467,130","217,046"
Sumsel ,2014,3.70,7.66,8,"5,543,511","10,451,652","263,438"
Sumsel ,2015,3.46,7.77,10,"5,628,474","4,460,248","263,329"
