Provinsi ,Tahun ,Tech_X1,Pend_X2,Bud_X3,Wis_X4,UMKM_Y1,EKRAF_Y2
Aceh ,2013,3.87,8.44,5,2630518,5872402,148690
Aceh ,2014,3.50,8.71,7,2642760,4550663,169702
Aceh ,2015,3.28,8.77,12,2683263,4436107,171075
Aceh ,2016,3.41,8.86,20,4240898,5945511.5,211174
Aceh ,2017,4.49,8.98,25,4388223,7454916,217753.5
Aceh ,2018,4.66,9.09,32,6313341,8808239,224333
Aceh ,2019,5.27,9.18,36,15660786,7613002,268185
Aceh ,2020,5.54,9.33,39,4142179,8853802,257735
Aceh ,2021,5.54,9.37,40,5534405,10820103,282937
Aceh ,2022,5.60,9.44,57,6954578,9932514,292522
Sumut,2013,4.11,8.79,9,10995065,16541424,558982
Sumut,2014,3.60,8.93,10,11046234,13878639,576553
Sumut,2015,3.38,9.03,11,11215535,11201484,606119
Sumut,2016,3.69,9.12,15,10305972,14164437,543179
Sumut,2017,4.65,9.25,20,10579452,17127390,523179
Sumut,2018,4.94,9.34,28,11586299,20959335,882840
Sumut,2019,5.44,9.45,29,47921230,15117280,873703
Sumut,2020,5.75,9.54,31,14046368,14529406,841703
Sumut,2021,5.75,9.58,33,17758183,20158527,985308
Sumut,2022,5.90,9.71,34,23204456,15079096,1071702
Sumbar,2013,4.44,8.28,7,6261364,9471352,225396
Sumbar,2014,4.00,8.29,10,6290503,11177446,263696
Sumbar,2015,3.86,8.42,15,6386915,10097847,273733
Sumbar,2016,4.24,8.59,16,5921182,10950915,314356
Sumbar,2017,5.00,8.72,17,6468487,11803983,339603
Sumbar,2018,5.12,8.76,18,7472400,15796205,364850
Sumbar,2019,5.52,8.92,19,18801652,10681229,403951
Sumbar,2020,5.92,8.99,32,7892822,9565608,366804
Sumbar,2021,5.92,9.07,40,9603912,11688627,393235
Sumbar,2022,6.01,9.18,56,12339263,12635608,444404
Riau                  ,2013,4.39,8.38,7,3784438,2223019,184735
Riau                  ,2014,4.00,8.47,8,3802050,2757073,218939
Riau                  ,2015,3.95,8.49,8,3860322,2182468,214185
Riau                  ,2016,4.26,8.59,10,4030132,6858915,229741
Riau                  ,2017,5.08,8.76,21,4122202,11535362,234368.5
Riau                  ,2018,5.25,8.92,35,4778397,11471107,272996
Riau                  ,2019,5.74,9.03,41,18505875,6706657,329738
Riau                  ,2020,5.90,9.14,51,5505722,6783193,306878
Riau                  ,2021,5.90,9.19,51,6143269,5878900,343333
Riau                  ,2022,6.02,9.22,56,8404236,8325696,361094
Jambi                 ,2013,4.23,7.80,10,1929952,3027644,77645
Jambi                 ,2014,4.00,7.92,10,1938934,4215775,88568
Jambi                 ,2015,3.70,7.96,12,1968649,3753419,97955
Jambi                 ,2016,3.92,8.07,18,1963865,3503174,121924
Jambi                 ,2017,4.66,8.15,27,1978318,3252929,122565
Jambi                 ,2018,4.91,8.23,36,2250927,4554986,122765
Jambi                 ,2019,5.49,8.45,46,7219722,2971856,144167
Jambi                 ,2020,5.73,8.55,48,2684562,2770960,125795
Jambi                 ,2021,5.73,8.60,51,3047167,3767472,146996
Jambi                 ,2022,5.80,8.68,56,3780983,4122019,166266
Sumsel ,2013,4.03,7.53,7,5517832,8467130,217046
Sumsel ,2014,3.70,7.66,8,5543511,10451652,263438
Sumsel ,2015,3.46,7.77,10,5628474,4460248,263329
Sumsel ,2016,3.80,7.83,14,5178701,6465792,342767
Sumsel ,2017,4.63,7.99,17,5358400,8471336,336172.5
Sumsel ,2018,4.81,8.00,24,5257310,12603791,329578
Sumsel ,2019,5.30,8.18,32,15066778,8907559,345578
Sumsel ,2020,5.64,8.24,34,5830094,7547356,344638
Sumsel ,2021,5.64,8.30,43,6827337,10381992,396473
Sumsel ,2022,5.76,8.37,44,8492364,11210305,408361
Bengkulu               ,2013,4.26,8.09,6,1863002,1567289,45263
Bengkulu               ,2014,4.00,8.28,6,1871672,1489214,48019
Bengkulu               ,2015,3.72,8.29,9,1900358,1869279,51248
Bengkulu               ,2016,3.93,8.37,9,2021363,2280721.5,78847
